meal_type,day_of_week,menu_popularity_score,holiday_flag,exam_period_flag,total_registered_students,current_bookings,last_7_day_avg_attendance,actual_attendance
dinner,6,8.54,1,0,225,124,113.7,104
lunch,3,5.23,0,1,175,175,177.2,168
lunch,4,4.91,0,0,200,165,176.4,177
breakfast,1,3.65,0,0,200,164,169.0,161
breakfast,1,7.96,0,0,150,134,117.1,124
dinner,6,8.93,0,0,200,147,141.1,158
lunch,1,3.35,0,0,200,185,172.9,183
lunch,1,1.86,1,0,150,79,91.9,95
dinner,6,2.23,0,0,225,148,160.9,155
dinner,1,8.14,0,0,200,199,177.4,191
breakfast,5,4.92,0,0,200,129,124.0,141
lunch,6,2.19,0,1,150,117,111.6,118
breakfast,3,4.06,0,1,200,155,174.4,171
dinner,0,5.63,0,0,200,188,172.5,181
lunch,5,8.67,0,1,250,232,203.0,222
dinner,5,6.78,0,0,200,166,156.9,154
breakfast,4,2.58,0,0,175,114,112.2,116
breakfast,6,2.43,0,0,200,124,116.8,116
breakfast,0,4.71,0,1,200,164,169.9,164
breakfast,1,1.68,0,0,225,166,184.9,170
breakfast,0,7.8,0,0,250,198,217.0,208
dinner,3,4.61,0,1,250,231,247.4,234
breakfast,2,4.09,0,0,225,167,167.8,172
breakfast,5,5.58,1,0,200,83,75.2,69
dinner,6,7.38,0,0,175,133,139.2,134
lunch,6,6.12,0,0,200,166,151.1,154
dinner,0,8.22,0,0,200,192,187.6,196
breakfast,4,6.66,0,0,175,145,127.7,137
lunch,3,8.09,0,0,175,175,152.6,153
breakfast,2,7.27,0,0,250,210,197.9,202
breakfast,3,2.74,0,0,225,178,176.0,173
dinner,6,1.47,0,0,200,126,131.6,142
breakfast,1,9.13,0,0,175,151,151.2,147
lunch,2,9.51,0,0,200,180,188.2,182
lunch,6,7.54,0,0,175,136,149.0,144
lunch,4,7.52,0,0,175,147,163.6,161
dinner,2,3.43,0,1,150,146,134.3,131
breakfast,6,5.88,0,1,200,138,136.9,124
lunch,4,9.93,0,0,200,192,198.6,189
dinner,1,8.71,0,1,175,153,153.6,170
lunch,4,3.74,0,0,175,160,147.2,151
dinner,3,3.71,0,0,200,177,162.7,185
breakfast,0,5.35,0,0,200,164,152.3,160
lunch,3,4.64,0,0,225,208,183.7,205
breakfast,6,4.34,0,0,200,126,130.8,127
dinner,6,6.64,0,0,200,162,164.6,147
dinner,5,1.1,0,0,200,154,143.1,141
breakfast,3,7.87,0,0,200,164,160.5,156
lunch,2,7.66,0,0,200,199,203.5,194
breakfast,1,8.47,0,0,225,203,183.1,196
lunch,5,8.57,1,0,225,131,119.5,122
lunch,5,6.1,0,0,175,132,146.6,141
dinner,5,8.02,0,0,250,208,197.2,191
lunch,6,5.43,0,0,250,185,178.4,201
lunch,0,9.56,0,0,225,210,222.1,199
breakfast,4,2.72,1,0,200,78,76.6,82
breakfast,2,9.24,0,1,225,209,209.8,197
breakfast,6,3.33,0,0,200,120,129.3,119
breakfast,1,1.92,0,0,175,129,133.5,132
dinner,6,4.95,1,0,225,94,89.9,101
lunch,0,6.53,0,0,200,176,202.4,196
lunch,6,3.08,0,1,175,133,145.4,139
breakfast,6,6.0,0,0,225,145,130.1,144
dinner,3,8.27,1,0,225,142,143.8,140
dinner,1,3.31,0,0,225,212,192.4,200
breakfast,5,6.22,0,0,225,162,141.0,152
dinner,1,4.05,0,0,200,196,182.3,184
lunch,1,5.77,0,0,200,184,194.3,193
breakfast,3,7.0,0,0,250,204,176.4,206
lunch,4,4.15,0,0,175,157,138.4,149
lunch,6,9.95,0,0,225,184,197.3,195
breakfast,2,6.07,0,0,200,171,156.6,161
dinner,5,8.42,0,0,250,202,197.6,202
dinner,4,7.53,0,0,200,184,186.6,180
lunch,0,8.68,1,0,175,107,106.0,120
lunch,6,2.56,0,0,225,157,169.8,169
lunch,5,3.0,0,1,200,177,159.9,171
lunch,2,5.39,0,0,175,157,167.6,159
lunch,6,8.67,0,0,150,125,123.9,113
breakfast,0,2.78,0,0,200,154,154.0,148
lunch,3,9.74,0,0,175,175,174.5,165
dinner,4,2.15,0,0,225,178,183.2,178
lunch,6,2.58,0,0,175,143,124.0,127
breakfast,5,2.51,0,0,200,110,114.0,118
dinner,1,6.27,0,0,200,182,179.3,181
breakfast,2,9.26,0,0,200,178,177.1,171
breakfast,6,3.3,1,0,175,42,51.2,59
breakfast,5,5.98,0,1,200,137,152.9,140
lunch,1,2.58,0,0,200,185,184.3,190
dinner,5,6.68,0,0,200,145,164.8,163
lunch,6,2.11,0,0,225,175,161.5,160
breakfast,0,5.42,0,1,200,168,170.8,169
dinner,1,6.9,0,0,225,225,229.6,210
dinner,1,6.21,1,0,200,114,125.4,129
dinner,5,2.26,0,0,200,147,137.1,145
breakfast,3,2.45,0,0,150,100,113.1,121
lunch,6,7.04,0,1,150,128,134.1,119
dinner,3,8.28,0,1,200,200,167.9,185
dinner,4,9.17,0,0,175,153,171.5,160
breakfast,0,8.32,0,0,225,176,183.9,187
breakfast,3,9.77,0,0,200,162,173.7,163
lunch,5,4.67,0,0,250,190,177.1,193
dinner,6,3.98,0,0,225,150,154.8,163
lunch,3,1.25,0,0,250,218,234.4,213
lunch,4,5.05,0,0,200,165,165.0,173
breakfast,2,6.86,0,0,200,155,155.9,161
lunch,4,8.34,0,0,200,185,172.2,182
dinner,1,3.41,0,1,250,225,230.8,233
lunch,6,5.62,0,0,200,141,141.3,157
dinner,1,6.96,0,0,175,175,163.0,160
dinner,3,5.96,0,0,175,145,149.4,160
breakfast,3,3.47,0,0,200,141,158.5,151
lunch,4,8.17,0,0,200,169,175.3,176
breakfast,4,2.56,0,0,200,139,147.5,136
dinner,5,9.14,1,0,225,105,117.0,103
lunch,0,9.57,0,0,200,175,202.0,194
lunch,5,4.29,0,0,200,161,162.6,155
dinner,1,4.39,0,0,150,150,146.3,140
lunch,5,7.69,0,0,200,178,161.6,168
dinner,4,5.11,0,0,150,128,137.1,124
lunch,6,1.26,0,0,200,148,132.1,142
breakfast,5,9.28,0,0,225,155,140.8,154
dinner,2,4.88,0,0,200,177,178.3,186
dinner,0,2.83,0,0,175,140,161.0,157
breakfast,4,6.0,0,0,225,180,155.9,167
dinner,6,2.97,1,0,200,89,91.3,93
dinner,3,2.85,0,0,200,159,159.6,165
breakfast,5,5.91,0,0,200,119,134.9,135
dinner,4,4.52,0,1,225,198,215.8,199
breakfast,3,6.16,0,0,150,120,127.7,114
breakfast,3,9.97,0,1,225,208,202.5,209
breakfast,1,8.73,0,0,175,138,148.2,160
dinner,1,1.07,1,0,150,88,78.1,97
lunch,6,1.46,0,0,200,147,128.2,143
breakfast,4,6.49,0,0,200,160,162.6,149
lunch,6,6.64,0,1,150,132,116.9,128
lunch,4,8.9,0,0,175,149,144.9,167
breakfast,2,6.66,0,0,200,160,159.0,154
dinner,0,3.05,0,0,225,199,187.6,203
dinner,0,5.22,0,0,175,158,151.3,154
lunch,4,8.28,0,0,175,161,152.1,159
dinner,1,9.31,0,0,225,215,198.0,213
lunch,5,3.13,0,0,200,160,164.3,152
dinner,6,5.86,0,0,200,144,141.8,147
lunch,2,2.43,0,0,200,184,177.5,177
lunch,0,5.47,0,0,200,200,173.5,188
breakfast,4,1.81,0,1,225,181,174.5,170
dinner,1,9.48,0,0,150,140,131.5,146
lunch,1,6.74,0,1,200,178,190.6,182
breakfast,1,8.69,1,0,175,90,100.5,99
breakfast,6,9.98,1,0,200,81,71.9,84
lunch,5,2.64,1,0,175,85,83.3,85
lunch,3,7.25,0,0,200,180,169.8,179
dinner,6,8.98,0,0,200,173,143.6,160
dinner,5,6.18,0,1,200,179,159.4,166
breakfast,1,6.76,0,0,225,194,179.8,183
dinner,4,4.67,0,0,225,196,188.8,197
breakfast,2,7.07,0,0,200,147,143.3,165
dinner,5,4.56,0,0,200,157,137.3,153
dinner,4,5.29,0,0,150,120,113.8,124
lunch,6,1.93,0,0,150,105,116.7,109
dinner,6,1.07,0,1,175,119,123.5,137
breakfast,1,1.5,0,0,250,183,195.4,200
lunch,2,2.73,0,0,225,211,203.3,201
dinner,0,5.11,0,1,200,189,194.7,187
lunch,0,1.19,1,0,200,102,122.6,118
lunch,6,2.4,1,0,225,84,90.8,92
lunch,4,8.03,0,0,200,172,176.6,173
dinner,2,7.86,1,0,200,115,121.0,126
lunch,4,8.11,0,0,200,183,164.1,186
breakfast,2,9.29,0,0,175,135,130.3,143
dinner,2,2.07,0,0,225,195,202.5,199
dinner,6,2.47,0,0,200,144,129.5,141
breakfast,4,4.0,0,0,225,158,143.9,165
breakfast,6,9.24,0,0,200,124,131.6,139
breakfast,2,7.98,0,1,225,208,186.1,202
lunch,5,3.92,0,0,200,143,138.4,151
lunch,1,1.79,0,0,225,193,182.5,201
dinner,2,6.55,0,0,225,211,221.0,203
lunch,5,3.31,0,0,175,120,143.1,136
lunch,2,5.78,0,0,150,140,136.7,146
lunch,5,9.48,0,0,250,214,220.4,215
dinner,4,6.15,0,0,175,149,158.1,147
lunch,0,9.31,0,0,200,182,189.2,191
dinner,3,4.54,0,1,225,215,218.4,218
lunch,2,6.7,1,0,150,103,103.4,99
breakfast,3,9.05,1,0,225,104,117.2,111
dinner,2,6.29,0,0,200,186,181.7,194
breakfast,4,6.53,0,0,175,139,116.3,138
dinner,4,7.45,0,0,200,173,175.0,177
breakfast,5,8.94,0,0,225,154,162.8,155
breakfast,2,1.79,1,0,200,86,92.9,91
dinner,4,4.03,0,0,225,196,191.7,197
breakfast,4,4.58,0,1,150,114,103.5,114
dinner,2,9.19,0,1,225,207,226.9,221
breakfast,5,9.6,0,1,175,120,127.5,131
lunch,5,2.08,0,0,175,123,131.2,138
dinner,5,2.07,0,0,200,152,140.1,145
lunch,5,9.41,0,0,175,133,139.6,150
breakfast,0,3.66,0,0,175,134,132.6,132
breakfast,2,3.18,0,0,225,160,168.4,171
breakfast,6,1.32,0,0,250,160,138.9,147
breakfast,0,3.48,0,0,150,108,119.7,117
lunch,4,7.24,0,0,200,189,161.1,172
dinner,0,4.83,0,0,175,148,142.7,155
dinner,6,5.65,0,0,225,183,152.4,175
dinner,6,9.26,0,1,200,171,168.8,166
dinner,6,2.03,0,1,200,143,146.3,158
lunch,5,1.64,0,0,200,149,144.6,146
breakfast,4,8.67,0,1,150,126,124.4,126
dinner,0,7.97,0,0,175,175,155.9,163
dinner,0,3.37,0,0,200,170,163.2,185
lunch,2,3.92,0,1,250,224,223.1,247
breakfast,0,3.79,0,0,225,183,187.7,170
lunch,4,6.83,0,1,225,225,228.0,214
lunch,5,1.55,0,0,175,136,140.3,126
dinner,2,5.4,0,0,250,234,201.9,223
lunch,0,2.2,0,0,225,205,180.5,206
lunch,2,8.38,0,0,200,180,168.9,190
dinner,3,4.43,0,0,225,209,208.6,200
breakfast,2,5.75,0,0,225,186,193.0,181
lunch,6,1.26,0,0,225,165,161.1,160
breakfast,5,1.52,0,0,225,131,138.7,129
dinner,6,7.08,0,0,225,164,165.4,169
dinner,3,7.9,0,0,250,244,240.7,230
breakfast,6,7.39,0,0,175,126,116.3,122
dinner,3,7.63,0,0,250,229,241.3,234
breakfast,2,1.94,0,0,225,182,165.6,169
dinner,4,7.24,0,0,200,189,162.6,170
dinner,5,2.64,0,0,175,122,125.8,122
dinner,4,1.88,0,1,200,166,164.0,171
breakfast,5,7.81,0,0,225,150,155.9,152
dinner,5,9.0,1,0,200,114,93.5,99
dinner,6,7.45,0,0,175,149,128.7,132
breakfast,6,8.25,1,0,200,71,64.3,70
dinner,4,9.92,0,0,250,214,238.9,226
breakfast,1,2.21,0,0,225,163,167.3,173
dinner,3,9.69,0,0,175,156,171.8,167
breakfast,6,6.41,0,0,200,122,116.0,133
dinner,6,8.32,0,0,250,201,181.0,192
lunch,6,6.85,0,0,150,115,123.9,118
breakfast,2,6.13,0,0,150,105,119.9,130
breakfast,4,7.33,0,0,225,186,151.6,170
breakfast,4,3.88,0,0,200,151,153.8,145
lunch,6,9.32,0,1,150,139,140.0,126
breakfast,2,2.04,0,0,250,178,190.3,191
lunch,6,3.86,1,0,200,82,93.3,88
breakfast,3,1.28,0,0,200,141,133.3,157
breakfast,2,3.44,0,0,200,142,159.1,151
dinner,6,2.96,0,0,225,176,146.7,161
breakfast,5,1.45,1,0,200,63,64.5,62
dinner,1,5.43,0,0,200,200,183.4,200
dinner,5,5.22,0,0,200,154,139.9,148
lunch,1,1.7,0,0,200,185,163.4,187
lunch,2,3.36,0,0,225,199,197.5,206
dinner,5,9.58,0,1,225,197,172.7,186
breakfast,3,2.0,0,0,225,153,179.1,166
breakfast,5,3.75,0,0,175,102,101.5,111
breakfast,4,1.32,0,0,150,97,100.2,104
dinner,1,2.34,0,0,225,211,202.3,209
breakfast,1,7.29,0,1,150,142,135.0,129
lunch,6,4.3,0,0,175,144,132.1,126
dinner,3,5.07,0,0,200,178,164.8,171
dinner,1,2.41,0,0,225,203,196.8,207
lunch,1,7.14,0,0,225,212,201.2,218
breakfast,6,7.76,1,0,200,63,64.6,72
dinner,3,2.63,0,0,250,231,207.8,213
lunch,5,1.4,0,0,225,159,168.3,168
breakfast,2,1.73,0,0,200,148,135.1,165
breakfast,5,6.91,1,0,175,58,59.3,65
dinner,4,2.22,0,0,200,158,148.0,167
lunch,4,5.45,0,0,225,200,175.2,190
dinner,1,2.37,0,0,175,167,167.6,159
dinner,4,2.53,0,0,200,171,173.9,170
lunch,2,1.04,0,1,250,219,215.8,230
lunch,1,3.89,0,0,175,159,162.3,162
lunch,6,1.81,0,0,175,134,133.2,131
breakfast,4,4.55,0,0,225,165,157.3,164
lunch,6,6.38,0,0,150,103,120.3,123
dinner,0,4.31,0,0,200,179,189.7,173
lunch,0,7.35,0,0,200,180,186.1,191
dinner,0,7.67,0,0,225,218,223.2,214
lunch,6,7.27,0,1,175,162,136.5,149
lunch,0,9.43,0,0,200,196,201.5,185
lunch,5,3.14,0,0,150,127,119.7,120
lunch,0,2.71,0,0,175,152,164.5,150
dinner,1,6.49,0,1,200,200,167.4,186
breakfast,3,6.35,0,0,175,140,140.8,139
lunch,5,5.59,1,0,200,87,95.1,102
breakfast,3,1.04,0,0,175,131,128.1,124
lunch,1,6.0,0,0,225,202,191.0,205
lunch,1,9.4,0,1,250,244,219.8,239
lunch,2,4.01,0,0,200,179,173.9,174
dinner,5,9.71,0,0,200,168,168.9,167
lunch,3,4.21,0,0,200,167,180.3,184
dinner,0,2.26,0,0,225,208,173.9,205
lunch,1,4.59,0,0,250,231,223.5,239
lunch,0,5.45,0,0,225,219,224.3,207
breakfast,3,6.67,0,0,175,146,128.2,141
breakfast,6,5.54,0,1,200,127,127.0,142
lunch,5,5.83,0,0,200,147,149.7,161
lunch,4,1.22,0,0,175,157,136.3,145
breakfast,6,3.28,0,1,175,116,104.0,121
breakfast,6,3.8,0,0,200,119,115.9,118
breakfast,4,9.88,0,0,225,188,176.8,171
dinner,1,3.66,0,0,225,199,208.1,195
lunch,2,9.07,0,0,200,197,191.6,197
lunch,0,3.74,1,0,250,165,139.6,149
breakfast,1,1.86,0,1,225,195,185.5,183
lunch,2,3.23,0,0,200,179,172.3,182
breakfast,0,3.46,1,0,225,97,110.7,102
breakfast,3,9.8,0,1,175,166,147.6,161
lunch,6,7.07,0,0,175,146,149.5,145
breakfast,6,9.39,0,0,250,177,170.5,173
breakfast,4,8.51,0,1,250,216,200.9,208
breakfast,2,6.21,0,0,225,176,177.5,178
breakfast,0,7.08,0,0,175,150,130.0,137
breakfast,1,6.62,0,0,200,152,167.6,166
lunch,0,7.0,0,0,200,182,203.8,187
dinner,1,3.38,0,0,175,163,156.3,162
lunch,6,4.67,1,0,200,100,100.3,88
lunch,4,6.33,0,1,200,178,172.0,182
breakfast,4,1.32,0,0,175,133,121.9,126
dinner,0,5.35,0,0,250,216,231.6,227
lunch,0,8.74,0,0,200,187,179.0,193
breakfast,1,5.43,0,0,200,151,154.9,168
lunch,1,5.97,0,0,200,180,203.1,188
breakfast,2,2.82,0,0,225,157,171.4,162
lunch,6,8.15,0,0,200,174,166.8,171
lunch,2,4.23,0,1,200,179,194.8,199
dinner,2,9.61,1,0,175,115,116.3,118
lunch,0,9.94,0,0,200,182,169.0,189
dinner,5,9.24,1,0,200,90,105.3,101
dinner,5,1.76,0,0,200,151,138.6,148
breakfast,5,4.0,0,1,200,144,133.4,140
breakfast,5,9.51,0,0,225,147,165.9,158
lunch,2,8.24,0,0,200,200,204.0,186
lunch,0,9.2,0,0,200,183,193.6,195
lunch,5,6.15,0,0,150,129,111.2,117
dinner,4,5.32,0,0,200,164,162.3,177
dinner,3,1.96,0,0,225,192,176.1,192
lunch,4,8.56,0,0,175,161,160.4,169
breakfast,0,7.71,0,0,150,132,131.1,118
dinner,0,1.53,0,0,150,116,135.5,138
dinner,3,2.88,0,0,150,118,129.5,131
dinner,1,6.02,0,0,225,200,226.5,212
breakfast,1,7.16,0,0,225,187,199.2,185
lunch,1,2.24,0,0,175,149,152.4,156
breakfast,2,3.2,0,1,250,203,202.0,199
breakfast,1,2.74,0,0,175,147,128.7,133
breakfast,6,2.98,0,0,200,133,106.7,123
lunch,2,9.29,0,0,200,192,184.3,198
dinner,2,7.44,0,0,150,137,144.2,145
breakfast,1,7.63,0,1,200,173,179.2,178
lunch,1,8.15,0,1,175,160,176.9,165
lunch,3,4.21,0,0,225,192,207.5,213
lunch,5,7.9,0,1,150,145,119.0,133
breakfast,3,9.81,0,0,150,129,116.7,123
lunch,2,7.29,0,0,225,202,192.8,217
dinner,3,4.75,0,0,225,207,208.8,202
breakfast,2,7.45,0,1,200,158,185.1,176
breakfast,0,9.11,0,0,200,164,154.5,175
lunch,2,2.16,0,0,175,154,161.2,151
dinner,2,3.39,0,0,175,161,149.9,149
lunch,3,9.27,0,0,200,190,180.7,193
dinner,5,9.52,0,1,200,171,187.5,176
lunch,0,5.36,0,0,200,185,176.5,181
lunch,4,4.37,0,0,225,189,198.4,204
breakfast,4,3.55,0,0,150,95,110.4,110
lunch,5,5.49,0,0,200,145,164.5,156
dinner,4,9.41,0,0,200,178,191.5,181
lunch,0,2.35,0,0,175,165,155.9,147
dinner,1,4.78,0,0,200,187,185.2,187
dinner,0,9.2,0,0,175,174,169.7,160
breakfast,3,4.14,0,0,175,144,121.9,132
dinner,6,7.91,0,0,250,184,180.3,196
breakfast,2,4.5,0,0,225,185,181.8,186
lunch,2,8.24,0,0,200,194,172.3,197
breakfast,3,9.83,0,0,200,166,170.0,156
breakfast,3,4.49,0,0,200,139,136.5,150
lunch,6,8.61,0,0,175,134,134.5,144
breakfast,6,9.9,0,0,200,138,138.7,137
lunch,2,9.85,0,0,150,131,145.0,148
lunch,6,4.9,0,0,200,144,153.9,148
breakfast,6,5.37,0,0,225,129,137.5,141
breakfast,6,3.73,0,0,225,128,128.5,134
lunch,5,3.83,0,1,225,182,185.5,186
lunch,1,5.43,0,0,175,166,152.2,164
dinner,6,2.8,1,0,200,95,74.9,88
lunch,1,7.4,0,0,250,238,209.5,234
dinner,1,5.83,0,0,225,201,197.0,207
dinner,3,9.08,0,0,150,150,125.8,150
lunch,6,8.3,0,0,225,171,169.2,189
dinner,2,3.9,0,1,225,215,199.8,219
breakfast,5,5.55,0,0,175,102,108.2,111
breakfast,2,7.75,0,0,200,160,167.7,159
dinner,6,2.74,0,1,175,147,130.7,125
lunch,2,1.28,0,0,225,199,214.3,200
dinner,6,8.67,0,0,150,114,127.3,122
dinner,5,2.24,0,0,200,159,158.2,143
dinner,0,9.0,0,0,250,248,228.1,239
dinner,5,9.22,0,0,225,179,163.5,175
lunch,0,5.15,0,0,200,193,195.7,200
breakfast,4,8.26,1,0,200,85,91.9,90
lunch,0,4.27,0,0,200,195,185.5,179
lunch,1,8.72,0,0,225,223,223.4,209
lunch,1,8.42,0,0,225,213,213.3,218
dinner,5,1.71,0,0,225,154,168.5,168
dinner,1,6.24,0,0,175,158,153.4,166
lunch,1,6.76,0,0,200,192,174.6,200
breakfast,4,1.01,0,0,225,140,153.6,157
lunch,1,9.82,0,0,225,215,214.6,215
breakfast,3,4.66,0,0,200,158,163.4,158
dinner,3,5.66,0,0,225,197,213.0,202
lunch,3,2.75,0,0,175,154,168.1,148
breakfast,0,6.5,0,0,200,157,172.8,159
breakfast,5,8.3,0,0,200,131,137.6,128
lunch,5,6.27,0,0,250,194,197.1,206
lunch,2,8.09,0,0,225,209,219.8,215
lunch,4,7.58,0,0,175,148,148.2,155
breakfast,3,3.14,0,0,200,158,143.5,149
lunch,3,4.92,0,0,175,163,165.3,162
breakfast,1,2.34,0,0,175,130,145.5,139
dinner,3,1.38,1,0,175,83,102.7,98
lunch,1,1.57,0,0,250,217,203.1,219
lunch,1,9.48,0,0,250,243,219.6,228
breakfast,2,9.86,0,0,200,158,158.0,167
dinner,0,1.85,0,0,200,159,166.5,177
lunch,1,4.02,0,0,225,221,188.7,209
dinner,1,2.03,0,0,200,180,164.9,183
breakfast,5,8.51,0,0,225,162,158.6,163
lunch,2,5.47,0,0,225,220,195.1,207
breakfast,1,6.59,0,0,200,164,176.3,157
lunch,4,5.86,1,0,250,133,141.8,152
dinner,0,7.39,1,0,200,132,114.3,141
lunch,4,3.87,0,0,200,172,181.4,173
breakfast,3,2.24,0,0,175,125,138.2,127
breakfast,0,1.16,1,0,250,120,117.2,116
lunch,3,5.01,0,1,150,139,139.0,144
breakfast,5,9.17,0,0,250,179,186.2,176
breakfast,6,3.75,0,0,250,152,156.3,152
dinner,6,2.76,0,0,225,156,148.9,162
lunch,6,9.33,0,0,200,165,161.8,159
breakfast,1,1.95,0,0,200,143,148.9,165
dinner,2,1.47,0,1,250,214,222.2,226
breakfast,4,8.91,1,0,250,124,116.5,105
dinner,3,7.31,0,0,225,204,190.3,208
breakfast,1,4.8,0,1,150,137,122.6,130
dinner,6,7.77,0,1,200,157,163.1,174
lunch,4,7.67,0,1,225,199,199.6,211
dinner,4,1.36,0,0,225,188,167.5,176
dinner,5,7.09,0,0,175,138,127.8,145
breakfast,5,6.77,0,1,200,148,132.3,140
dinner,6,9.67,0,1,150,125,124.1,131
lunch,3,9.7,0,0,225,204,196.3,208
lunch,6,4.4,0,0,225,169,175.0,166
lunch,6,6.31,0,0,200,161,148.7,155
lunch,1,2.27,0,0,225,206,220.0,200
breakfast,2,1.6,0,0,250,201,166.9,179
lunch,6,4.9,0,0,175,127,126.2,131
lunch,3,7.21,0,0,175,168,169.6,165
dinner,4,6.11,1,0,200,120,115.9,126
dinner,4,4.87,0,0,225,182,186.1,194
lunch,0,8.36,0,0,250,231,249.8,237
breakfast,6,8.15,0,1,175,117,111.8,126
breakfast,1,7.59,0,0,200,181,164.9,170
breakfast,0,1.69,0,0,200,148,138.0,150
breakfast,5,8.17,0,0,225,149,147.0,160
lunch,2,9.27,1,0,225,167,156.0,155
breakfast,3,1.53,0,1,175,122,123.3,136
dinner,6,4.62,1,0,225,94,88.9,95
lunch,4,9.9,0,0,250,220,225.6,236
lunch,1,6.39,0,0,175,157,155.1,172
lunch,4,5.62,0,0,200,178,181.3,181
breakfast,6,2.6,0,1,175,102,100.9,111
lunch,5,6.09,1,0,200,108,107.3,100
lunch,0,4.95,0,0,175,156,162.7,171
lunch,6,2.15,0,0,200,136,144.1,152
lunch,0,5.18,0,1,200,179,182.9,193
dinner,3,2.48,0,0,200,166,178.2,170
dinner,1,7.58,0,0,200,185,180.7,192
lunch,5,9.76,0,0,200,168,175.0,178
lunch,1,5.23,0,1,225,224,217.7,214
lunch,3,6.69,0,0,175,153,162.4,151
breakfast,5,4.88,0,0,200,130,136.4,139
lunch,5,2.25,0,0,200,154,143.3,156
breakfast,0,9.73,0,0,200,167,150.7,165
lunch,0,2.17,1,0,200,124,113.7,118
lunch,0,2.0,0,0,150,142,141.4,133
breakfast,4,5.13,0,0,200,158,132.5,146
dinner,2,6.93,0,0,175,149,168.3,163
dinner,6,4.19,0,0,225,164,173.5,170
dinner,0,2.73,0,0,200,180,169.9,184
lunch,2,8.37,0,0,175,175,152.5,163
dinner,2,4.27,0,0,200,168,171.2,184
breakfast,1,2.75,0,0,225,163,168.9,172
dinner,3,4.29,0,0,200,177,189.8,184
breakfast,4,2.93,0,0,225,166,149.9,162
dinner,2,5.68,0,0,200,183,196.6,183
breakfast,6,7.01,0,0,225,141,132.6,146
dinner,4,8.2,0,1,175,167,177.3,171
dinner,1,3.05,1,0,150,93,83.2,83
breakfast,0,2.5,0,0,225,157,156.2,177
lunch,5,1.18,0,0,200,142,133.8,145
dinner,2,3.05,0,0,200,190,167.0,181
lunch,3,1.22,0,0,200,182,174.6,175
dinner,5,4.11,0,0,250,175,191.5,183
lunch,1,2.31,0,0,175,160,152.6,158
lunch,4,6.22,0,0,175,145,144.5,152
breakfast,6,4.45,0,0,200,112,133.8,117
breakfast,0,1.84,0,0,225,170,157.9,171
dinner,4,4.6,0,0,225,189,183.5,184
lunch,3,2.88,0,0,200,185,173.8,174
lunch,2,7.12,0,0,200,196,195.3,192
lunch,3,4.28,0,0,175,169,144.8,154
lunch,4,2.32,0,0,225,186,177.3,196
dinner,4,4.15,0,0,150,128,137.1,137
dinner,5,3.02,0,0,200,142,155.7,157
lunch,3,8.16,0,0,175,175,160.8,168
dinner,3,9.85,0,1,175,170,149.7,165
dinner,3,1.23,0,0,200,155,179.1,171
lunch,0,7.21,0,0,200,198,197.0,198
dinner,6,3.38,0,0,200,131,145.4,140
breakfast,4,1.6,0,0,225,143,150.9,148
breakfast,1,1.13,0,0,200,150,162.2,151
dinner,0,8.93,0,0,175,155,155.9,167
lunch,0,4.18,0,0,200,197,173.7,189
dinner,0,9.95,0,0,175,151,175.1,171
dinner,5,4.98,0,0,175,119,134.7,142
breakfast,6,2.69,0,0,250,149,160.5,150
dinner,6,7.99,0,0,200,163,158.4,157
lunch,1,9.34,0,0,200,200,168.5,191
lunch,3,8.34,0,0,225,224,195.0,207
lunch,5,7.71,1,0,200,89,97.4,111
dinner,4,4.01,0,0,225,195,200.2,188
breakfast,2,1.58,0,0,225,168,175.8,166
lunch,5,2.81,0,0,225,165,177.5,172
dinner,2,5.02,0,0,175,170,157.5,155
dinner,4,9.61,1,0,250,142,138.9,152
dinner,1,7.51,0,0,175,152,150.4,169
breakfast,6,8.45,0,0,225,165,136.7,158
breakfast,2,3.5,0,0,175,133,141.9,136
lunch,0,7.15,1,0,250,158,148.1,172
dinner,5,8.76,0,0,200,166,169.8,162
breakfast,2,5.31,0,0,200,161,165.7,149
breakfast,4,4.87,0,0,225,169,149.6,159
dinner,6,7.47,0,1,175,132,153.8,147
breakfast,0,6.04,0,0,200,155,169.5,159
dinner,2,9.94,0,0,200,194,191.5,195
dinner,6,4.83,0,0,175,144,127.7,131
dinner,4,2.58,0,0,200,176,167.6,166
breakfast,1,5.25,0,0,200,175,155.7,157
breakfast,4,3.12,0,1,150,115,114.7,103
dinner,1,6.05,0,0,200,189,201.9,186
dinner,6,2.13,0,0,200,156,129.1,137
dinner,6,9.55,1,0,225,117,104.7,105
breakfast,0,8.74,0,0,225,175,184.2,188
dinner,4,2.4,0,0,225,185,173.3,190
dinner,3,2.55,0,0,225,203,210.3,197
lunch,5,5.61,0,0,250,194,203.8,201
dinner,3,7.96,0,0,200,187,180.8,183
dinner,3,2.97,0,0,250,222,231.2,212
lunch,3,1.55,0,0,250,224,199.0,214
breakfast,5,5.91,0,0,175,103,107.8,120
lunch,3,7.22,0,0,200,178,202.5,188
breakfast,1,3.2,0,0,175,140,135.8,146
lunch,4,7.66,0,0,200,182,193.7,187
lunch,6,9.56,0,0,225,188,199.2,194
breakfast,0,2.23,0,1,225,189,172.3,181
lunch,3,5.6,0,0,200,197,184.1,186
breakfast,6,1.51,0,0,200,131,122.8,110
dinner,3,2.86,0,0,175,153,143.0,153
